Total: 91 characters
Full (12):
  [bronya] 布洛妮娅
  [changyeyue] 长夜月
  [fengjin] 风堇
  [fu_xuan] 符玄
  [huohuo] 藿藿
  [seele] 希儿
  [sparkle] 花火
  [trailblazer_elation] 开拓者·欢愉
  [xiadie] 遐蝶
  [xilian] 昔涟
  [yaoguang] 爻光
  [yinlang] 银狼Lv.999
Stubs (79):
  [acheron] 黄泉
  [aglaea] 阿格莱雅
  [anaxa] 那刻夏
  [archer] Archer
  [argenti] 银枝
  [arlan] 阿兰
  [ashveil] 不死途
  [asta] 艾丝妲
  [aventurine] 砂金
  [aventurine_waveflair] 砂金•戏浪
  [bailu] 白露
  [black_swan] 黑天鹅
  [blade] 刃
  [boothill] 波提欧
  [cerydra] 刻律德菈
  [cipher] 赛飞儿
  [clara] 克拉拉
  [dan_heng] 丹恒
  [dan_heng_imbibitor_lunae] 丹恒•饮月
  [dan_heng_permansor_terrae] 丹恒•腾荒
  [dr_ratio] 真理医生
  [evanescia] 绯英
  [feixiao] 飞霄
  [firefly] 流萤
  [fugue] 忘归人
  [gallagher] 加拉赫
  [gepard] 杰帕德
  [gilgamesh] 吉尔伽美什
  [guinaifen] 桂乃芬
  [hanya] 寒鸦
  [herta] 黑塔
  [himeko] 姬子
  [himeko_nova] 姬子•启行
  [hook] 虎克
  [hysilens] 海瑟音
  [jade] 翡翠
  [jiaoqiu] 椒丘
  [jing_yuan] 景元
  [jingliu] 镜流
  [kafka] 卡芙卡
  [lingsha] 灵砂
  [luka] 卢卡
  [luocha] 罗刹
  [lynx] 玲可
  [march_7th] 三月七
  [misha] 米沙
  [mortenax_blade] 千冶•刃
  [moze] 貊泽
  [mydei] 万敌
  [natasha] 娜塔莎
  [pela] 佩拉
  [phainon] 白厄
  [qingque] 青雀
  [rappa] 乱破
  [rin_tohsaka] 远坂凛
  [robin] 知更鸟
  [robin_summeretto] 知更鸟•晴歌
  [ruan_mei] 阮•梅
  [saber] Saber
  [sampo] 桑博
  [serval] 希露瓦
  [silver_wolf] 银狼
  [sparxie] 火花
  [sunday] 星期日
  [sushang] 素裳
  [the_dahlia] 大丽花
  [the_herta] 大黑塔
  [tingyun] 停云
  [topaz_numby] 托帕&账账
  [trailblazer_destruction] 开拓者·毁灭
  [trailblazer_harmony] 开拓者·同谐
  [trailblazer_preservation] 开拓者·存护
  [trailblazer_remembrance] 开拓者·记忆
  [tribbie] 缇宝
  [welt] 瓦尔特
  [xueyi] 雪衣
  [yanqing] 彦卿
  [yukong] 驭空
  [yunli] 云璃
